Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
169.85	252.17	1508.7	0.00066284	70984	70984	409.15	824.5	1217.8	1117.9	-3.9137E-07	0.0011106	0.12482	0.02903	0.020372	49.088	300270	312650	1832	555.26	628.28	118.33	0.000088145	4.13E-06	0.0034029
170.19	262.2	1507.8	0.00066322	71398	71398	411.59	824.48	1217.7	1116.2	-3.9126E-07	0.001105	0.12467	0.02897	0.021139	47.305	300460	312870	1830.4	556.17	629.2	118.43	0.000087735	4.15E-06	0.0034305
170.53	272.57	1507	0.00066359	71812	71812	414.02	824.46	1217.6	1114.5	-3.9114E-07	0.0010994	0.12453	0.028911	0.021932	45.595	300650	313080	1828.8	557.08	630.11	118.54	0.000087327	4.17E-06	0.0034581
170.87	283.3	1506.1	0.00066396	72226	72226	416.45	824.44	1217.5	1112.9	-3.9102E-07	0.0010938	0.12438	0.028852	0.022751	43.955	300840	313290	1827.3	557.99	631.02	118.64	0.000086922	4.20E-06	0.0034857
171.21	294.4	1505.3	0.00066434	72640	72640	418.87	824.43	1217.4	1111.2	-3.909E-07	0.0010882	0.12424	0.028792	0.023595	42.381	301030	313510	1825.7	558.9	631.93	118.75	0.00008652	4.22E-06	0.0035133
171.55	305.88	1504.4	0.00066471	73054	73054	421.28	824.41	1217.4	1109.6	-3.9077E-07	0.0010827	0.1241	0.028733	0.024467	40.871	301220	313720	1824.2	559.8	632.84	118.86	0.00008612	4.24E-06	0.0035409
171.89	317.75	1503.6	0.00066509	73468	73468	423.69	824.4	1217.3	1107.9	-3.9064E-07	0.0010772	0.12395	0.028674	0.025366	39.422	301410	313940	1822.7	560.7	633.74	118.96	0.000085723	4.27E-06	0.0035685
172.23	330.01	1502.7	0.00066546	73882	73882	426.1	824.4	1217.2	1106.3	-3.9051E-07	0.0010718	0.12381	0.028614	0.026294	38.031	301600	314150	1821.1	561.6	634.64	119.07	0.000085329	4.29E-06	0.0035961
172.57	342.69	1501.9	0.00066584	74296	74296	428.5	824.39	1217.2	1104.6	-3.9038E-07	0.0010663	0.12366	0.028555	0.027251	36.696	301790	314370	1819.6	562.49	635.54	119.17	0.000084937	4.31E-06	0.0036237
172.91	355.8	1501	0.00066621	74709	74710	430.89	824.39	1217.1	1103	-3.9025E-07	0.0010609	0.12352	0.028496	0.028238	35.414	301980	314580	1818.2	563.39	636.44	119.28	0.000084547	4.34E-06	0.0036513
173.25	369.34	1500.2	0.00066659	75123	75123	433.28	824.39	1217	1101.3	-3.9011E-07	0.0010556	0.12338	0.028437	0.029255	34.182	302170	314800	1816.7	564.28	637.34	119.38	0.000084161	4.36E-06	0.0036789
173.59	383.32	1499.3	0.00066697	75537	75537	435.67	824.4	1217	1099.6	-3.8997E-07	0.0010502	0.12323	0.028377	0.030304	32.999	302360	315010	1815.2	565.17	638.23	119.49	0.000083776	0.000004384	0.0037065
173.93	397.77	1498.5	0.00066734	75951	75951	438.05	824.4	1216.9	1098	-3.8983E-07	0.0010449	0.12309	0.028318	0.031385	31.862	302560	315230	1813.8	566.05	639.13	119.59	0.000083395	4.41E-06	0.0037341
174.27	412.69	1497.6	0.00066772	76364	76365	440.43	824.41	1216.9	1096.3	-3.8968E-07	0.0010397	0.12294	0.028259	0.032499	30.77	302750	315450	1812.3	566.94	640.02	119.7	0.000083015	4.43E-06	0.0037617
174.61	428.09	1496.8	0.0006681	76778	76778	442.8	824.42	1216.8	1094.7	-3.8954E-07	0.0010344	0.1228	0.0282	0.033647	29.72	302940	315660	1810.9	567.82	640.9	119.8	0.000082638	4.45E-06	0.0037893
174.95	444	1495.9	0.00066848	77192	77192	445.17	824.43	1216.8	1093.1	-3.8939E-07	0.0010292	0.12266	0.028141	0.03483	28.711	303130	315880	1809.5	568.7	641.79	119.9	0.000082264	4.48E-06	0.0038169
175.29	460.41	1495.1	0.00066885	77606	77606	447.53	824.45	1216.8	1091.4	-3.8924E-07	0.001024	0.12251	0.028082	0.036048	27.74	303330	316100	1808.1	569.58	642.67	120.01	0.000081891	4.50E-06	0.0038445
175.63	477.35	1494.2	0.00066923	78019	78020	449.89	824.47	1216.7	1089.8	-3.8909E-07	0.0010189	0.12237	0.028023	0.037303	26.807	303520	316320	1806.7	570.46	643.56	120.11	0.000081522	4.52E-06	0.0038721
175.97	494.83	1493.4	0.00066961	78433	78433	452.24	824.49	1216.7	1088.1	-3.8893E-07	0.0010137	0.12222	0.027964	0.038595	25.91	303710	316530	1805.3	571.33	644.44	120.22	0.000081154	4.55E-06	0.0038997
176.31	512.87	1492.6	0.00066999	78847	78847	454.59	824.51	1216.7	1086.5	-3.8877E-07	0.0010086	0.12208	0.027905	0.039926	25.046	303910	316750	1803.9	572.2	645.32	120.32	0.000080789	4.57E-06	0.0039272
