Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
169.85	389.56	1591.1	0.00062849	71455	71455	412.62	792.21	1183.8	1120	-3.81E-07	0.0021536	0.14524	0.028073	0.028172	35.496	321110	334940	1963.9	502.96	585.3	126.79	0.00037357	6.83E-06	0.0030801
170.19	404.7	1590.2	0.00062885	71858	71858	414.99	792.07	1183.8	1118.2	-3.81E-07	0.0021224	0.14503	0.028014	0.029209	34.236	321280	335140	1962	503.76	586.12	126.91	0.00036728	6.84E-06	0.0031074
170.53	420.35	1589.3	0.0006292	72261	72261	417.36	791.94	1183.8	1116.5	-3.81E-07	0.002092	0.14482	0.027955	0.030279	33.027	321450	335330	1960	504.56	586.93	127.02	0.00036112	6.86E-06	0.0031347
170.87	436.53	1588.4	0.00062956	72664	72665	419.72	791.81	1183.9	1114.8	-3.81E-07	0.0020624	0.14462	0.027896	0.031382	31.865	321620	335530	1958.1	505.36	587.75	127.13	0.0003551	6.87E-06	0.003162
171.21	453.24	1587.5	0.00062992	73068	73068	422.07	791.7	1183.9	1113	-3.81E-07	0.0020335	0.14441	0.027837	0.03252	30.751	321790	335730	1956.2	506.16	588.57	127.24	0.00034922	6.88E-06	0.0031892
171.55	470.52	1586.6	0.00063027	73471	73471	424.43	791.59	1183.9	1111.3	-3.80E-07	0.0020054	0.1442	0.027778	0.033693	29.68	321960	335930	1954.3	506.95	589.38	127.35	0.00034347	6.90E-06	0.0032165
171.89	488.36	1585.7	0.00063063	73874	73874	426.78	791.49	1184	1109.6	-3.80E-07	0.001978	0.14399	0.027719	0.034902	28.651	322130	336120	1952.4	507.75	590.2	127.46	0.00033784	6.91E-06	0.0032438
172.23	506.79	1584.8	0.00063099	74277	74278	429.12	791.4	1184	1107.8	-3.80E-07	0.0019512	0.14378	0.02766	0.036149	27.663	322300	336320	1950.6	508.55	591.02	127.57	0.00033234	6.92E-06	0.0032711
172.57	525.83	1583.9	0.00063135	74681	74681	431.46	791.32	1184.1	1106.1	-3.80E-07	0.0019251	0.14358	0.027602	0.037434	26.714	322470	336520	1948.7	509.35	591.84	127.68	0.00032695	6.94E-06	0.0032984
172.92	545.49	1583	0.00063171	75084	75084	433.79	791.25	1184.2	1104.4	-3.79E-07	0.0018996	0.14337	0.027543	0.038758	25.801	322640	336720	1946.9	510.15	592.65	127.79	0.00032169	6.95E-06	0.0033257
