Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
146.35	7.03E+00	1884.9	0.00053053	71910	71910	375.3	654.07	959.13	1068.8	-4.21E-07	0.0033896	0.092563	undefined	0.00098253	1017.8	242060	249220	1586.8	423.47	472.4	89.345	0.00063083	5.62E-06	0.0038309
146.73	7.50E+00	1883.7	0.00053086	72277	72277	377.8	654.14	958.86	1066.6	-4.21E-07	0.0033498	0.092514	undefined	0.0010453	956.62	242230	249400	1584.9	424.43	473.36	89.451	0.00062054	5.63E-06	0.0038485
147.12	8.00E+00	1882.5	0.00053119	72644	72644	380.3	654.21	958.6	1064.4	-4.21E-07	0.0033107	0.092464	undefined	0.0011117	899.5	242390	249580	1583	425.39	474.32	89.557	0.00061045	5.65E-06	0.0038661
147.5	8.52E+00	1881.4	0.00053153	73011	73011	382.79	654.29	958.35	1062.3	-4.21E-07	0.0032723	0.092414	undefined	0.0011819	846.11	242550	249760	1581.1	426.35	475.28	89.663	0.00060056	5.66E-06	0.0038838
147.88	9.08E+00	1880.2	0.00053186	73378	73378	385.27	654.38	958.11	1060.1	-4.21E-07	0.0032344	0.092364	undefined	0.001256	796.2	242710	249940	1579.3	427.31	476.24	89.769	0.00059087	5.68E-06	0.0039015
148.26	9.67E+00	1879	0.00053219	73744	73744	387.75	654.48	957.88	1058	-4.21E-07	0.0031973	0.092314	undefined	0.0013342	749.53	242880	250130	1577.4	428.28	477.21	89.875	0.00058136	5.69E-06	0.0039193
148.65	1.03E+01	1877.8	0.00053253	74111	74111	390.22	654.58	957.66	1055.8	-4.21E-07	0.0031607	0.092263	undefined	0.0014167	705.86	243040	250310	1575.6	429.24	478.17	89.98	0.00057205	5.70E-06	0.0039371
149.03	1.10E+01	1876.7	0.00053286	74477	74477	392.68	654.68	957.45	1053.7	-4.21E-07	0.0031248	0.092213	undefined	0.0015038	664.99	243210	250490	1573.8	430.2	479.13	90.085	0.00056291	5.72E-06	0.003955
149.41	1.17E+01	1875.5	0.00053319	74844	74844	395.13	654.79	957.25	1051.5	-4.21E-07	0.0030894	0.092162	undefined	0.0015956	626.72	243370	250680	1572	431.16	480.1	90.19	0.00055395	5.73E-06	0.0039729
149.79	1.24E+01	1874.3	0.00053353	75210	75210	397.58	654.91	957.05	1049.4	-4.21E-07	0.0030547	0.09211	undefined	0.0016924	590.87	243540	250860	1570.2	432.13	481.06	90.295	0.00054517	5.75E-06	0.0039908
150.18	1.32E+01	1873.1	0.00053386	75576	75576	400.02	655.03	956.87	1047.3	-4.21E-07	0.0030204	0.092059	undefined	0.0017944	557.28	243700	251040	1568.4	433.09	482.03	90.4	0.00053656	5.76E-06	0.0040088
150.56	1.40E+01	1872	0.0005342	75942	75942	402.46	655.16	956.7	1045.2	-4.21E-07	0.0029868	0.092007	undefined	0.0019019	525.8	243870	251230	1566.7	434.05	482.99	90.505	0.00052811	5.78E-06	0.0040269
150.94	1.49E+01	1870.8	0.00053453	76308	76308	404.89	655.3	956.53	1043	-4.21E-07	0.0029537	0.091955	undefined	0.002015	496.27	244030	251410	1565	435.02	483.96	90.61	0.00051982	5.79E-06	0.004045
151.32	1.58E+01	1869.6	0.00053487	76674	76674	407.31	655.44	956.37	1040.9	-4.21E-07	0.0029211	0.091903	undefined	0.0021342	468.57	244200	251600	1563.3	435.98	484.93	90.714	0.0005117	5.81E-06	0.0040631
151.71	1.68E+01	1868.5	0.0005352	77040	77040	409.72	655.59	956.22	1038.8	-4.21E-07	0.0028891	0.091851	undefined	0.0022595	442.57	244370	251780	1561.6	436.95	485.89	90.818	0.00050373	5.82E-06	0.0040813
152.09	1.78E+01	1867.3	0.00053554	77406	77406	412.13	655.74	956.08	1036.7	-4.21E-07	0.0028575	0.091798	undefined	0.0023914	418.16	244530	251970	1559.9	437.91	486.86	90.922	0.00049591	5.84E-06	0.0040995
152.47	1.89E+01	1866.1	0.00053587	77772	77772	414.53	655.9	955.95	1034.6	-4.21E-07	0.0028265	0.091745	undefined	0.0025301	395.24	244700	252160	1558.2	438.88	487.83	91.026	0.00048824	5.85E-06	0.0041178
152.86	2.00E+01	1865	0.00053621	78138	78138	416.93	656.06	955.83	1032.5	-4.21E-07	0.002796	0.091692	undefined	0.0026759	373.71	244870	252340	1556.6	439.85	488.8	91.13	0.00048072	5.86E-06	0.0041361
153.24	2.12E+01	1863.8	0.00053654	78503	78503	419.32	656.23	955.72	1030.4	-4.21E-07	0.0027659	0.091639	undefined	0.0028291	353.47	245040	252530	1555	440.81	489.76	91.234	0.00047333	5.88E-06	0.0041545
153.62	2.25E+01	1862.6	0.00053688	78869	78869	421.7	656.4	955.61	1028.3	-4.20E-07	0.0027363	0.091586	undefined	0.0029901	334.44	245210	252720	1553.4	441.78	490.73	91.338	0.00046609	5.89E-06	0.0041729
154	2.38E+01	1861.4	0.00053722	79235	79235	424.08	656.58	955.51	1026.2	-4.20E-07	0.0027072	0.091532	undefined	0.0031591	316.54	245370	252900	1551.8	442.75	491.7	91.441	0.00045899	5.91E-06	0.0041913
154.39	2.52E+01	1860.3	0.00053755	79600	79600	426.45	656.76	955.42	1024.2	-4.20E-07	0.0026785	0.091478	undefined	0.0033366	299.7	245540	253090	1550.2	443.71	492.67	91.544	0.00045201	5.92E-06	0.0042098
154.77	2.67E+01	1859.1	0.00053789	79966	79966	428.82	656.95	955.34	1022.1	-4.20E-07	0.0026503	0.091424	undefined	0.0035229	283.85	245710	253280	1548.6	444.68	493.64	91.648	0.00044517	5.94E-06	0.0042284
155.15	2.82E+01	1858	0.00053823	80332	80332	431.18	657.15	955.27	1020	-4.20E-07	0.0026225	0.09137	undefined	0.0037184	268.93	245880	253470	1547.1	445.65	494.61	91.751	0.00043846	5.95E-06	0.004247
155.53	2.98E+01	1856.8	0.00053857	80697	80697	433.53	657.35	955.21	1017.9	-4.20E-07	0.0025951	0.091315	undefined	0.0039234	254.88	246050	253660	1545.6	446.62	495.58	91.854	0.00043187	5.97E-06	0.0042656
155.92	3.15E+01	1855.6	0.0005389	81063	81063	435.88	657.55	955.15	1015.9	-4.20E-07	0.0025682	0.09126	undefined	0.0041384	241.64	246220	253850	1544.1	447.58	496.56	91.956	0.0004254	5.98E-06	0.0042843
