Temperature (K)	Pressure (Pa)	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Therm. Cond. (v, W/m*K)"	"Viscosity (v, Pa*s)"
100	101330	3.6039	0.27747	70107	98222	5754.2	724.67	1035.4	198.29	0.000016779	0.0092943	7.15E-06
101	101330	3.5661	0.28042	70843	99257	5764.5	724.34	1034.4	199.35	0.000016465	0.0093899	7.22E-06
102	101330	3.529	0.28336	71579	100290	5774.7	724.03	1033.4	200.4	0.000016161	0.0094853	7.29E-06
103	101330	3.4928	0.2863	72314	101320	5784.8	723.72	1032.4	201.45	0.000015866	0.0095806	7.36E-06
104	101330	3.4573	0.28924	73048	102360	5794.8	723.43	1031.5	202.49	0.000015581	0.0096759	7.42E-06
105	101330	3.4226	0.29218	73782	103390	5804.6	723.15	1030.6	203.52	0.000015304	0.009771	7.49E-06
106	101330	3.3886	0.29511	74515	104420	5814.4	722.88	1029.8	204.55	0.000015035	0.009866	7.56E-06
107	101330	3.3553	0.29804	75248	105450	5824.1	722.63	1029	205.57	0.000014774	0.0099609	7.63E-06
108	101330	3.3227	0.30096	75980	106470	5833.6	722.38	1028.2	206.58	0.000014521	0.010056	7.69E-06
109	101330	3.2907	0.30389	76712	107500	5843.1	722.14	1027.5	207.59	0.000014275	0.01015	7.76E-06
110	101330	3.2594	0.30681	77443	108530	5852.5	721.92	1026.8	208.59	0.000014035	0.010245	7.83E-06
111	101330	3.2287	0.30973	78173	109560	5861.8	721.7	1026.1	209.59	0.000013803	0.010339	7.90E-06
112	101330	3.1985	0.31264	78904	110580	5871	721.49	1025.4	210.58	0.000013577	0.010434	7.96E-06
113	101330	3.169	0.31556	79633	111610	5880.1	721.29	1024.8	211.57	0.000013357	0.010528	8.03E-06
114	101330	3.14	0.31847	80363	112630	5889.1	721.1	1024.2	212.55	0.000013143	0.010622	0.000008097
115	101330	3.1116	0.32138	81092	113660	5898.1	720.91	1023.6	213.53	0.000012935	0.010716	8.16E-06
116	101330	3.0837	0.32429	81820	114680	5906.9	720.73	1023.1	214.5	0.000012732	0.010809	0.00000823
117	101330	3.0563	0.3272	82549	115700	5915.7	720.56	1022.5	215.46	0.000012535	0.010903	8.30E-06
118	101330	3.0294	0.3301	83276	116720	5924.4	720.4	1022	216.42	0.000012343	0.010997	8.36E-06
119	101330	3.003	0.33301	84004	117750	5933	720.24	1021.5	217.38	0.000012155	0.01109	8.43E-06
120	101330	2.977	0.33591	84731	118770	5941.6	720.09	1021	218.33	0.000011973	0.011183	8.49E-06
121	101330	2.9515	0.33881	85458	119790	5950	719.95	1020.5	219.28	0.000011795	0.011276	8.56E-06
122	101330	2.9265	0.34171	86185	120810	5958.4	719.81	1020.1	220.22	0.000011621	0.011369	8.63E-06
123	101330	2.9019	0.3446	86911	121830	5966.8	719.67	1019.7	221.15	0.000011452	0.011462	8.69E-06
124	101330	2.8777	0.3475	87637	122850	5975	719.54	1019.2	222.09	0.000011287	0.011555	8.76E-06
125	101330	2.8539	0.35039	88363	123870	5983.2	719.42	1018.8	223.01	0.000011125	0.011648	8.82E-06
126	101330	2.8306	0.35329	89088	124890	5991.3	719.3	1018.5	223.94	0.000010968	0.01174	8.89E-06
127	101330	2.8076	0.35618	89813	125900	5999.4	719.19	1018.1	224.86	0.000010814	0.011833	8.95E-06
128	101330	2.785	0.35907	90538	126920	6007.4	719.07	1017.7	225.77	0.000010664	0.011925	9.02E-06
129	101330	2.7627	0.36196	91263	127940	6015.3	718.97	1017.4	226.68	0.000010517	0.012017	9.08E-06
130	101330	2.7409	0.36485	91988	128960	6023.1	718.87	1017	227.59	0.000010374	0.012109	0.000009146
131	101330	2.7193	0.36774	92712	129970	6030.9	718.77	1016.7	228.49	0.000010234	0.012201	9.21E-06
132	101330	2.6982	0.37062	93436	130990	6038.7	718.67	1016.4	229.39	0.000010097	0.012292	9.27E-06
133	101330	2.6773	0.37351	94160	132010	6046.3	718.58	1016.1	230.29	9.96E-06	0.012384	9.34E-06
134	101330	2.6568	0.37639	94884	133020	6053.9	718.49	1015.8	231.18	9.83E-06	0.012475	0.000009403
135	101330	2.6366	0.37927	95607	134040	6061.5	718.41	1015.5	232.07	9.70E-06	0.012567	9.47E-06
136	101330	2.6167	0.38215	96331	135050	6069	718.33	1015.2	232.95	9.58E-06	0.012658	9.53E-06
137	101330	2.5972	0.38504	97054	136070	6076.4	718.25	1014.9	233.83	9.45E-06	0.012749	9.59E-06
138	101330	2.5779	0.38792	97777	137080	6083.8	718.17	1014.7	234.71	9.33E-06	0.01284	9.66E-06
139	101330	2.5589	0.39079	98500	138100	6091.1	718.1	1014.4	235.58	9.22E-06	0.01293	9.72E-06
140	101330	2.5402	0.39367	99222	139110	6098.4	718.03	1014.2	236.45	9.10E-06	0.013021	9.78E-06
141	101330	2.5217	0.39655	99945	140130	6105.6	717.96	1013.9	237.31	8.99E-06	0.013112	9.85E-06
142	101330	2.5036	0.39943	100670	141140	6112.8	717.9	1013.7	238.18	8.88E-06	0.013202	9.91E-06
143	101330	2.4857	0.4023	101390	142150	6119.9	717.83	1013.5	239.04	8.77E-06	0.013292	9.97E-06
144	101330	2.468	0.40518	102110	143170	6126.9	717.77	1013.3	239.89	0.000008663	0.013382	0.000010037
145	101330	2.4507	0.40805	102830	144180	6134	717.71	1013.1	240.74	8.56E-06	0.013472	0.000010099
146	101330	2.4335	0.41093	103560	145190	6140.9	717.65	1012.8	241.59	8.46E-06	0.013562	0.000010162
147	101330	2.4166	0.4138	104280	146200	6147.8	717.6	1012.6	242.44	8.36E-06	0.013652	0.000010224
148	101330	2.4	0.41667	105000	147220	6154.7	717.55	1012.5	243.28	0.000008258	0.013741	0.000010286
149	101330	2.3835	0.41954	105720	148230	6161.5	717.5	1012.3	244.12	8.16E-06	0.013831	0.000010349
150	101330	2.3673	0.42241	106440	149240	6168.3	717.45	1012.1	244.96	8.07E-06	0.01392	0.000010411
151	101330	2.3514	0.42528	107160	150250	6175	717.4	1011.9	245.79	0.000007974	0.014009	0.000010473
152	101330	2.3356	0.42815	107880	151270	6181.7	717.35	1011.7	246.62	7.88E-06	0.014098	0.000010534
153	101330	2.3201	0.43102	108600	152280	6188.3	717.31	1011.6	247.45	7.79E-06	0.014187	0.000010596
154	101330	2.3047	0.43389	109320	153290	6194.9	717.26	1011.4	248.27	7.71E-06	0.014276	0.000010658
155	101330	2.2896	0.43676	110050	154300	6201.5	717.22	1011.2	249.09	7.62E-06	0.014364	0.000010719
156	101330	2.2747	0.43963	110770	155310	6208	717.18	1011.1	249.91	7.53E-06	0.014453	0.00001078
157	101330	2.2599	0.44249	111490	156320	6214.4	717.14	1010.9	250.73	7.45E-06	0.014541	0.000010842
158	101330	2.2454	0.44536	112210	157330	6220.8	717.11	1010.8	251.54	7.37E-06	0.01463	0.000010903
159	101330	2.231	0.44822	112930	158340	6227.2	717.07	1010.6	252.35	7.29E-06	0.014718	0.000010964
160	101330	2.2169	0.45109	113650	159350	6233.5	717.03	1010.5	253.16	7.21E-06	0.014806	0.000011025
161	101330	2.2029	0.45395	114370	160370	6239.8	717	1010.4	253.96	7.13E-06	0.014894	0.000011085
162	101330	2.1891	0.45682	115090	161380	6246.1	716.97	1010.2	254.76	7.06E-06	0.014981	0.000011146
163	101330	2.1754	0.45968	115810	162390	6252.3	716.94	1010.1	255.56	6.98E-06	0.015069	0.000011206
164	101330	2.162	0.46254	116530	163400	6258.5	716.9	1010	256.36	0.000006907	0.015156	0.000011267
165	101330	2.1487	0.46541	117250	164410	6264.6	716.87	1009.9	257.15	6.83E-06	0.015244	0.000011327
166	101330	2.1355	0.46827	117970	165420	6270.7	716.85	1009.7	257.94	0.000006763	0.015331	0.000011387
167	101330	2.1225	0.47113	118690	166430	6276.8	716.82	1009.6	258.73	6.69E-06	0.015418	0.000011447
168	101330	2.1097	0.47399	119410	167430	6282.8	716.79	1009.5	259.52	6.62E-06	0.015505	0.000011507
169	101330	2.0971	0.47685	120130	168440	6288.8	716.77	1009.4	260.3	6.56E-06	0.015592	0.000011567
170	101330	2.0846	0.47971	120850	169450	6294.8	716.74	1009.3	261.08	6.49E-06	0.015678	0.000011627
171	101330	2.0722	0.48257	121570	170460	6300.7	716.72	1009.2	261.86	6.42E-06	0.015765	0.000011686
172	101330	2.06	0.48543	122290	171470	6306.6	716.69	1009.1	262.64	6.36E-06	0.015851	0.000011746
173	101330	2.0479	0.48829	123000	172480	6312.4	716.67	1009	263.41	6.29E-06	0.015938	0.000011805
174	101330	2.036	0.49115	123720	173490	6318.2	716.65	1008.9	264.18	6.23E-06	0.016024	0.000011864
175	101330	2.0242	0.49401	124440	174500	6324	716.63	1008.8	264.95	6.17E-06	0.01611	0.000011924
176	101330	2.0126	0.49687	125160	175510	6329.8	716.61	1008.7	265.72	6.11E-06	0.016196	0.000011983
177	101330	2.0011	0.49973	125880	176520	6335.5	716.59	1008.6	266.48	6.05E-06	0.016282	0.000012041
178	101330	1.9897	0.50259	126600	177520	6341.2	716.57	1008.5	267.24	5.99E-06	0.016367	0.0000121
179	101330	1.9785	0.50544	127320	178530	6346.8	716.55	1008.4	268	5.93E-06	0.016453	0.000012159
180	101330	1.9673	0.5083	128040	179540	6352.4	716.53	1008.4	268.76	5.87E-06	0.016538	0.000012218
181	101330	1.9563	0.51116	128760	180550	6358	716.52	1008.3	269.51	0.000005817	0.016624	0.000012276
182	101330	1.9455	0.51401	129480	181560	6363.6	716.5	1008.2	270.27	5.76E-06	0.016709	0.000012334
183	101330	1.9347	0.51687	130190	182570	6369.1	716.49	1008.1	271.02	5.71E-06	0.016794	0.000012393
184	101330	1.9241	0.51972	130910	183570	6374.6	716.47	1008	271.77	5.65E-06	0.016879	0.000012451
185	101330	1.9136	0.52258	131630	184580	6380.1	716.46	1008	272.51	5.60E-06	0.016964	0.000012509
186	101330	1.9032	0.52543	132350	185590	6385.5	716.44	1007.9	273.26	5.55E-06	0.017049	0.000012567
187	101330	1.8929	0.52829	133070	186600	6390.9	716.43	1007.8	274	5.49E-06	0.017133	0.000012625
188	101330	1.8827	0.53114	133790	187610	6396.3	716.42	1007.8	274.74	0.000005443	0.017218	0.000012683
189	101330	1.8727	0.534	134510	188610	6401.6	716.41	1007.7	275.48	5.39E-06	0.017302	0.00001274
190	101330	1.8627	0.53685	135220	189620	6406.9	716.39	1007.6	276.21	5.34E-06	0.017386	0.000012798
191	101330	1.8529	0.53971	135940	190630	6412.2	716.38	1007.6	276.94	5.29E-06	0.01747	0.000012855
192	101330	1.8431	0.54256	136660	191640	6417.5	716.37	1007.5	277.68	5.25E-06	0.017554	0.000012913
193	101330	1.8335	0.54541	137380	192640	6422.7	716.36	1007.4	278.41	5.20E-06	0.017638	0.00001297
194	101330	1.8239	0.54827	138100	193650	6427.9	716.35	1007.4	279.13	5.15E-06	0.017722	0.000013027
195	101330	1.8145	0.55112	138820	194660	6433.1	716.34	1007.3	279.86	5.10E-06	0.017806	0.000013084
196	101330	1.8051	0.55397	139530	195670	6438.3	716.34	1007.3	280.58	0.000005058	0.017889	0.000013141
197	101330	1.7959	0.55682	140250	196670	6443.4	716.33	1007.2	281.3	5.01E-06	0.017973	0.000013198
198	101330	1.7867	0.55968	140970	197680	6448.5	716.32	1007.2	282.02	0.000004968	0.018056	0.000013254
199	101330	1.7777	0.56253	141690	198690	6453.6	716.31	1007.1	282.74	4.92E-06	0.018139	0.000013311
200	101330	1.7687	0.56538	142410	199690	6458.6	716.31	1007.1	283.46	4.88E-06	0.018222	0.000013368
201	101330	1.7598	0.56823	143130	200700	6463.6	716.3	1007	284.17	4.84E-06	0.018305	0.000013424
202	101330	1.7511	0.57108	143840	201710	6468.6	716.3	1007	284.88	4.79E-06	0.018388	0.00001348
203	101330	1.7424	0.57393	144560	202720	6473.6	716.29	1006.9	285.6	4.75E-06	0.018471	0.000013537
204	101330	1.7338	0.57678	145280	203720	6478.5	716.29	1006.9	286.3	4.71E-06	0.018553	0.000013593
205	101330	1.7252	0.57963	146000	204730	6483.5	716.28	1006.8	287.01	4.67E-06	0.018636	0.000013649
206	101330	1.7168	0.58248	146720	205740	6488.4	716.28	1006.8	287.72	4.63E-06	0.018718	0.000013705
207	101330	1.7084	0.58533	147430	206740	6493.2	716.28	1006.7	288.42	4.59E-06	0.0188	0.00001376
208	101330	1.7001	0.58818	148150	207750	6498.1	716.28	1006.7	289.12	0.000004551	0.018882	0.000013816
209	101330	1.692	0.59103	148870	208760	6502.9	716.27	1006.6	289.82	4.51E-06	0.018964	0.000013872
210	101330	1.6838	0.59388	149590	209760	6507.7	716.27	1006.6	290.52	4.47E-06	0.019046	0.000013927
211	101330	1.6758	0.59673	150310	210770	6512.5	716.27	1006.6	291.21	4.44E-06	0.019128	0.000013983
212	101330	1.6678	0.59958	151020	211780	6517.3	716.27	1006.5	291.91	4.40E-06	0.01921	0.000014038
213	101330	1.6599	0.60243	151740	212780	6522	716.27	1006.5	292.6	4.36E-06	0.019291	0.000014093
214	101330	1.6521	0.60528	152460	213790	6526.7	716.27	1006.5	293.29	4.32E-06	0.019373	0.000014149
215	101330	1.6444	0.60813	153180	214800	6531.4	716.27	1006.4	293.98	4.29E-06	0.019454	0.000014204
216	101330	1.6367	0.61098	153890	215800	6536.1	716.27	1006.4	294.67	4.25E-06	0.019536	0.000014259
217	101330	1.6291	0.61383	154610	216810	6540.7	716.27	1006.4	295.35	4.22E-06	0.019617	0.000014314
218	101330	1.6216	0.61667	155330	217810	6545.4	716.27	1006.3	296.04	4.18E-06	0.019698	0.000014368
219	101330	1.6141	0.61952	156050	218820	6550	716.28	1006.3	296.72	4.15E-06	0.019779	0.000014423
220	101330	1.6068	0.62237	156770	219830	6554.5	716.28	1006.3	297.4	4.11E-06	0.019859	0.000014478
221	101330	1.5994	0.62522	157480	220830	6559.1	716.28	1006.2	298.08	4.08E-06	0.01994	0.000014532
222	101330	1.5922	0.62806	158200	221840	6563.7	716.29	1006.2	298.76	4.05E-06	0.020021	0.000014587
223	101330	1.585	0.63091	158920	222850	6568.2	716.29	1006.2	299.43	4.01E-06	0.020101	0.000014641
224	101330	1.5779	0.63376	159640	223850	6572.7	716.3	1006.2	300.11	3.98E-06	0.020182	0.000014695
225	101330	1.5708	0.63661	160350	224860	6577.2	716.3	1006.1	300.78	3.95E-06	0.020262	0.000014749
226	101330	1.5638	0.63945	161070	225860	6581.6	716.31	1006.1	301.45	3.92E-06	0.020342	0.000014803
227	101330	1.5569	0.6423	161790	226870	6586.1	716.31	1006.1	302.12	3.88E-06	0.020422	0.000014857
228	101330	1.55	0.64515	162510	227880	6590.5	716.32	1006.1	302.79	3.85E-06	0.020502	0.000014911
229	101330	1.5432	0.64799	163220	228880	6594.9	716.32	1006.1	303.46	3.82E-06	0.020582	0.000014965
230	101330	1.5365	0.65084	163940	229890	6599.3	716.33	1006	304.12	0.000003792	0.020662	0.000015019
231	101330	1.5298	0.65369	164660	230890	6603.6	716.34	1006	304.78	3.76E-06	0.020741	0.000015072
232	101330	1.5232	0.65653	165380	231900	6608	716.35	1006	305.45	3.73E-06	0.020821	0.000015126
233	101330	1.5166	0.65938	166100	232910	6612.3	716.36	1006	306.11	3.70E-06	0.0209	0.000015179
234	101330	1.5101	0.66222	166810	233910	6616.6	716.37	1006	306.77	0.000003673	0.02098	0.000015233
235	101330	1.5036	0.66507	167530	234920	6620.9	716.38	1005.9	307.42	3.64E-06	0.021059	0.000015286
236	101330	1.4972	0.66792	168250	235920	6625.2	716.39	1005.9	308.08	3.62E-06	0.021138	0.000015339
237	101330	1.4908	0.67076	168970	236930	6629.4	716.4	1005.9	308.73	0.000003587	0.021217	0.000015392
238	101330	1.4845	0.67361	169680	237940	6633.7	716.41	1005.9	309.39	3.56E-06	0.021296	0.000015445
239	101330	1.4783	0.67645	170400	238940	6637.9	716.42	1005.9	310.04	3.53E-06	0.021375	0.000015498
240	101330	1.4721	0.6793	171120	239950	6642.1	716.43	1005.9	310.69	3.50E-06	0.021454	0.000015551
241	101330	1.466	0.68214	171840	240950	6646.3	716.44	1005.9	311.34	3.48E-06	0.021532	0.000015604
242	101330	1.4599	0.68499	172550	241960	6650.4	716.46	1005.9	311.99	3.45E-06	0.021611	0.000015657
243	101330	1.4538	0.68783	173270	242970	6654.6	716.47	1005.8	312.63	3.42E-06	0.021689	0.000015709
244	101330	1.4479	0.69068	173990	243970	6658.7	716.48	1005.8	313.28	3.40E-06	0.021768	0.000015762
245	101330	1.4419	0.69352	174710	244980	6662.8	716.5	1005.8	313.92	3.37E-06	0.021846	0.000015814
246	101330	1.436	0.69636	175420	245980	6666.9	716.51	1005.8	314.56	3.34E-06	0.021924	0.000015867
247	101330	1.4302	0.69921	176140	246990	6671	716.53	1005.8	315.2	3.32E-06	0.022002	0.000015919
248	101330	1.4244	0.70205	176860	247990	6675.1	716.54	1005.8	315.84	3.29E-06	0.02208	0.000015971
249	101330	1.4186	0.7049	177580	249000	6679.1	716.56	1005.8	316.48	3.27E-06	0.022158	0.000016023
250	101330	1.4129	0.70774	178290	250010	6683.1	716.58	1005.8	317.12	3.24E-06	0.022236	0.000016075
251	101330	1.4073	0.71059	179010	251010	6687.2	716.6	1005.8	317.75	3.22E-06	0.022313	0.000016127
252	101330	1.4017	0.71343	179730	252020	6691.2	716.61	1005.8	318.39	3.19E-06	0.022391	0.000016179
253	101330	1.3961	0.71627	180450	253020	6695.1	716.63	1005.8	319.02	3.17E-06	0.022468	0.000016231
254	101330	1.3906	0.71912	181170	254030	6699.1	716.65	1005.8	319.65	3.15E-06	0.022546	0.000016282
255	101330	1.3851	0.72196	181880	255040	6703.1	716.67	1005.8	320.28	3.12E-06	0.022623	0.000016334
256	101330	1.3797	0.7248	182600	256040	6707	716.69	1005.8	320.91	3.10E-06	0.0227	0.000016386
257	101330	1.3743	0.72765	183320	257050	6710.9	716.71	1005.8	321.53	3.08E-06	0.022777	0.000016437
258	101330	1.3689	0.73049	184040	258050	6714.8	716.73	1005.8	322.16	3.05E-06	0.022854	0.000016489
259	101330	1.3636	0.73333	184750	259060	6718.7	716.75	1005.8	322.79	0.00000303	0.022931	0.00001654
260	101330	1.3584	0.73618	185470	260060	6722.6	716.78	1005.8	323.41	3.01E-06	0.023008	0.000016591
261	101330	1.3531	0.73902	186190	261070	6726.5	716.8	1005.8	324.03	0.000002985	0.023084	0.000016642
262	101330	1.348	0.74186	186910	262080	6730.3	716.82	1005.8	324.65	2.96E-06	0.023161	0.000016693
263	101330	1.3428	0.74471	187620	263080	6734.1	716.85	1005.8	325.27	2.94E-06	0.023238	0.000016744
264	101330	1.3377	0.74755	188340	264090	6737.9	716.87	1005.8	325.89	2.92E-06	0.023314	0.000016795
265	101330	1.3326	0.75039	189060	265090	6741.8	716.9	1005.8	326.51	2.90E-06	0.02339	0.000016846
266	101330	1.3276	0.75323	189780	266100	6745.5	716.92	1005.9	327.12	2.88E-06	0.023467	0.000016897
