Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
160	9.01E-04	907.91	0.0011014	-429440	-429440	-1713.4	1322.8	1804.5	1700.7	-4.94E-07	0.11616	0.22	0.037907	3.12E-08	32034000	583090	611970	4795.4	859.53	1040	186.92	0.0022785	4.38E-06	0.005414
161	1.13E-03	906.83	0.0011027	-427630	-427630	-1702.1	1338.9	1814.1	1694.3	-4.92E-07	0.10703	0.21915	0.037698	3.88E-08	25767000	583950	613010	4761.5	861.65	1042.1	187.47	0.0022167	4.41E-06	0.0054692
162	1.41E-03	905.77	0.001104	-425810	-425810	-1690.9	1354.1	1823.3	1688.3	-4.91E-07	0.098957	0.21831	0.037492	4.81E-08	20787000	584820	614050	4728.1	863.77	1044.2	188.01	0.0021569	4.44E-06	0.0055245
163	1.75E-03	904.72	0.0011053	-423980	-423980	-1679.6	1368.2	1832	1682.6	-4.89E-07	0.091773	0.21749	0.037289	5.95E-08	16816000	585680	615100	4695.1	865.89	1046.4	188.55	0.0020991	4.47E-06	0.0055799
164	2.17E-03	903.67	0.0011066	-422150	-422150	-1668.4	1381.4	1840.2	1677.2	-4.88E-07	0.085346	0.21669	0.037088	7.33E-08	13642000	586550	616150	4662.7	868.01	1048.5	189.09	0.0020432	4.51E-06	0.0056353
165	2.68E-03	902.64	0.0011079	-420300	-420300	-1657.2	1393.7	1847.9	1672	-4.87E-07	0.079568	0.2159	0.036889	9.01E-08	11098000	587420	617200	4630.7	870.14	1050.6	189.62	0.0019891	4.54E-06	0.0056907
166	3.31E-03	901.61	0.0011091	-418450	-418450	-1646	1405.2	1855.1	1667	-4.85E-07	0.074351	0.21513	0.036693	1.10E-07	9052000	588290	618250	4599.2	872.27	1052.7	190.15	0.0019367	4.57E-06	0.0057462
167	4.07E-03	900.59	0.0011104	-416590	-416590	-1634.8	1415.9	1861.9	1662.2	-4.84E-07	0.069621	0.21437	0.036499	1.35E-07	7402900	589160	619300	4568.1	874.4	1054.9	190.69	0.0018861	4.61E-06	0.0058017
168	5.00E-03	899.58	0.0011116	-414730	-414730	-1623.7	1425.9	1868.3	1657.6	-4.83E-07	0.065317	0.21363	0.036307	1.65E-07	6069900	590040	620360	4537.5	876.54	1057	191.22	0.0018371	4.64E-06	0.0058573
169	6.11E-03	898.57	0.0011129	-412860	-412860	-1612.6	1435.2	1874.3	1653.1	-4.82E-07	0.061388	0.2129	0.036118	2.00E-07	4989600	590910	621410	4507.4	878.68	1059.2	191.75	0.0017896	4.67E-06	0.005913
